id,rating_numerator,name,retweet_count,favorite_count,type,p1_dog,display_text_range,created_date,created_time
817415592588222464,11,Strudel,884,5280,Doberman,True,140,2017-01-06,17
817171292965273600,13,Tebow,1859,8284,golden_retriever,True,103,2017-01-06,0
817056546584727552,11,Chloe,1510,8106,kelpie,True,107,2017-01-05,17
816816676327063552,12,Timber,1886,9443,malamute,True,91,2017-01-05,1
816697700272001025,12,Binky,2048,9210,Chihuahua,True,99,2017-01-04,17
816336735214911488,11,Dudley,1795,8148,Labrador_retriever,True,86,2017-01-03,17
816091915477250048,12,Comet,1980,8461,Pomeranian,True,91,2017-01-03,1
815990720817401858,11,Jack,943,4676,Chihuahua,True,139,2017-01-02,18
815736392542261248,11,Akumi,2109,9282,Border_collie,True,94,2017-01-02,1
815639385530101762,12,Titan,1547,7795,German_shepherd,True,100,2017-01-01,19
814986499976527872,11,Cooper,1183,7236,dalmatian,True,93,2016-12-31,0
814638523311648768,12,Olivia,2517,10661,golden_retriever,True,86,2016-12-30,1
814530161257443328,12,Alf,1735,8197,miniature_poodle,True,112,2016-12-29,17
814153002265309185,12,Oshie,8083,27163,golden_retriever,True,109,2016-12-28,16
813910438903693312,11,Chubbs,1725,8819,Siberian_husky,True,93,2016-12-28,0
813812741911748608,14,Gary,12997,34504,French_bulldog,True,139,2016-12-27,18
813800681631023104,12,Sky,1640,7864,malamute,True,66,2016-12-27,17
813217897535406080,13,Atlas,6829,17614,Samoyed,True,68,2016-12-26,3
813096984823349248,11,Rocky,3372,9997,Great_Dane,True,74,2016-12-25,19
813081950185472002,11,Baron,2587,9403,Doberman,True,112,2016-12-25,18
813066809284972545,12,Tyr,1821,7522,toy_terrier,True,115,2016-12-25,17
813051746834595840,13,Bauer,6819,19875,golden_retriever,True,90,2016-12-25,16
812781120811126785,10,Swagger,1784,7128,bull_mastiff,True,101,2016-12-24,22
812709060537683968,12,Brandi,1349,6276,Irish_setter,True,94,2016-12-24,17
812372279581671427,13,Moe,3413,12898,golden_retriever,True,103,2016-12-23,19
811985624773361665,11,Ted,1307,6889,Staffordshire_bullterrier,True,88,2016-12-22,17
811744202451197953,13,Halo,1469,7135,Pekinese,True,41,2016-12-22,1
